# file...... Output/regulator_1501490.csv
# date...... Thu Nov  2 10:35:33 2017
# user...... yingying
# host...... (null)
# target.... regulator 320
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,tap_A,tap_B,tap_C,tap_A_change_count,tap_B_change_count,tap_C_change_count
2010-08-16 00:00:00 UTC,0,0,0,+0,+0,+0
2010-08-16 00:00:30 UTC,1,0,1,+1,+0,+1
2010-08-16 00:01:00 UTC,2,0,1,+2,+0,+1
2010-08-16 00:01:30 UTC,3,0,1,+3,+0,+1
2010-08-16 00:02:00 UTC,3,0,2,+3,+0,+2
2010-08-16 00:02:30 UTC,3,0,2,+3,+0,+2
2010-08-16 00:03:00 UTC,3,0,2,+3,+0,+2
2010-08-16 00:03:30 UTC,3,0,2,+3,+0,+2
2010-08-16 00:04:00 UTC,3,0,2,+3,+0,+2
2010-08-16 00:04:30 UTC,3,0,2,+3,+0,+2
2010-08-16 00:05:00 UTC,3,0,2,+3,+0,+2
2010-08-16 00:05:30 UTC,3,0,2,+3,+0,+2
2010-08-16 00:06:00 UTC,3,0,2,+3,+0,+2
